ID,basionymID,scientificName,authorship,rank,uninomial,genus,infragenericEpithet,specificEpithet,infraspecificEpithet,referenceID,publishedInPage,publishedInYear,code,status,remarks,link
224,225,Alucita nephelotoxa,"(Meyrick, 1908)",species,,Alucita,,nephelotoxa,,,,,ICZN,established,,
225,225,Orneodes nephelotoxa,"Meyrick, 1908",species,,Orneodes,,nephelotoxa,,53,505,1908,ICZN,established,,https://www.biodiversitylibrary.org/page/13535047
226,227,Alucita niphadosema,"(Diakonoff, 1954)",species,,Alucita,,niphadosema,,,,,ICZN,established,,
227,227,Orneodes niphadosema,"Diakonoff, 1954",species,,Orneodes,,niphadosema,,14,182,1954,ICZN,established,,
228,229,Alucita niphodosema,"(Diakonoff, 1954)",species,,Alucita,,niphodosema,,,,,ICZN,established,Misspelling,
229,229,Orneodes niphodosema,"Diakonoff, 1954",species,,Orneodes,,niphodosema,,,,,ICZN,established,Misspelling,
230,231,Alucita niphostrota,"(Meyrick, 1908)",species,,Alucita,,niphostrota,,,,,ICZN,established,,
231,231,Orneodes niphostrota,"Meyrick, 1908",species,,Orneodes,,niphostrota,,53,507,1908,ICZN,established,,https://www.biodiversitylibrary.org/page/13535049
232,232,Alucita nipsana,"Gielis, 2009",species,,Alucita,,nipsana,,22,22,2009,ICZN,established,,
233,234,Alucita nubifera,"(Meyrick, 1921)",species,,Alucita,,nubifera,,,,,ICZN,established,,
234,234,Orneodes nubifera,"Meyrick, 1921",species,,Orneodes,,nubifera,,62,408,1921,ICZN,established,,https://www.biodiversitylibrary.org/page/9808826
235,235,Alucita nyasa,"Ustjuzhanin & Kovtunovich, 2016",species,,Alucita,,nyasa,,96,,2016,ICZN,established,,
236,238,Alucita objurgatella,"(Walsingham, 1907)",species,,Alucita,,objurgatella,,,,,ICZN,established,,https://www.biodiversitylibrary.org/page/38854851
237,239,Alucita angustestriata,"(Walsingham, 1907)",species,,Alucita,,angustestriata,,,,,ICZN,established,,https://www.biodiversitylibrary.org/page/38854851
238,238,Orneodes objurgatella,"Walsingham, 1907",species,,Orneodes,,objurgatella,,115,477,,ICZN,established,,https://www.biodiversitylibrary.org/page/38854851
239,239,Orneodes angustestriata,"Walsingham, 1907",species,,Orneodes,,angustestriata,,115,477,1907,ICZN,established,,https://www.biodiversitylibrary.org/page/38854851
240,242,Alucita ochraspis,"(Meyrick, 1929)",species,,Alucita,,ochraspis,,,,,ICZN,established,,
241,241,Alucita cohraspis,"Meyrick, 1929",species,,Alucita,,cohraspis,,,,,ICZN,established,Misspelling,
242,242,Orneodes ochraspis,"Meyrick, 1929",species,,Orneodes,,ochraspis,,,,1929,ICZN,established,,https://www.biodiversitylibrary.org/page/60297895
243,244,Alucita ochriprota,"(Hering, 1917)",species,,Alucita,,ochriprota,,,,,ICZN,established,,
244,244,Orneodes ochriprota,"Hering, 1917",species,,Orneodes,,ochriprota,,28,194,1917,ICZN,established,,https://www.biodiversitylibrary.org/page/9271812
245,245,Alucita ochrobasalis,"van Mastrigt & Gielis, 2009",species,,Alucita,,ochrobasalis,,43,35,2009,ICZN,established,,
246,247,Alucita ochrozona,"(Meyrick, 1907)",species,,Alucita,,ochrozona,,,,,ICZN,established,,
247,247,Orneodes ochrozona,"Meyrick, 1907",species,,Orneodes,,ochrozona,,52,730,1907,ICZN,established,,
248,248,Alucita olga,"Ustjuzhanin & Kovtunovich, 2018",species,,Alucita,,olga,,99,135,2018,ICZN,established,,
249,249,Alucita ordubadi,"Zagulajev, 2000",species,,Alucita,,ordubadi,,125,888,2000,ICZN,established,,
250,250,Alucita palodactyla,"Zeller, 1847",species,,Alucita,,palodactyla,,,,,ICZN,established,,
251,255,Alucita parthenodactyla,"(Chrétien, 1915)",species,,Alucita,,parthenodactyla,,,,,ICZN,established,,
252,253,Alucita parthanodactyla,"(Chrétien, 1915)",species,,Alucita,,parthanodactyla,,,,,ICZN,established,Misspelling,
253,253,Orneodes parthanodactyla,"Chrétien, 1915",species,,Orneodes,,parthanodactyla,,,,,ICZN,established,Misspelling,
254,254,Alucita perittodactyla,"Staudinger, 1859",species,,Alucita,,perittodactyla,,82,259,1859,ICZN,established,,https://www.biodiversitylibrary.org/page/8985513
255,255,Orneodes parthenodactyla,"Chrétien, 1915",species,,Orneodes,,parthenodactyla,,10,296,1915,ICZN,established,,
256,257,Alucita panduris,"(Meyrick, 1911)",species,,Alucita,,panduris,,,,,ICZN,established,,
257,257,Orneodes panduris,"Meyrick, 1911",species,,Orneodes,,panduris,,55,106,1911,ICZN,established,,
258,259,Alucita panolbia,"(Walsingham, 1915)",species,,Alucita,,panolbia,,,,,ICZN,established,,
259,259,Orneodes panolbia,"Walsingham, 1915",species,,Orneodes,,panolbia,,117,451,1915,ICZN,established,,https://www.biodiversitylibrary.org/page/593633
260,260,Alucita papuaensis,"Gielis, 2009",species,,Alucita,,papuaensis,,22,23,2009,ICZN,established,,
263,264,Alucita patria,"(Meyrick, 1921)",species,,Alucita,,patria,,,,,ICZN,established,,
264,264,Orneodes patria,"Meyrick, 1921",species,,Orneodes,,patria,,62,408,1921,ICZN,established,,https://www.biodiversitylibrary.org/page/9808826
265,265,Alucita pectinata,"Scholz & Jäckh, 1994",species,,Alucita,,pectinata,,80,52,1994,ICZN,established,,
266,266,Alucita pepperella,"Whalley, 1962",species,,Alucita,,pepperella,,143,119,1962,ICZN,established,,
267,268,Alucita phanerarcha,"(Meyrick, 1924)",species,,Alucita,,phanerarcha,,,,,ICZN,established,,
268,268,Orneodes phanerarcha,"Meyrick, 1924",species,,Orneodes,,phanerarcha,,63,96,1924,ICZN,established,,https://www.biodiversitylibrary.org/page/60297455
269,270,Alucita philomela,"(Meyrick, 1937)",species,,Alucita,,philomela,,,,,ICZN,established,,
270,270,Orneodes philomela,"Meyrick, 1937",species,,Orneodes,,philomela,,144,170,1937,ICZN,established,,
271,272,Alucita photaula,"(Meyrick, 1918)",species,,Alucita,,photaula,,,,,ICZN,established,,
272,272,Orneodes photaula,"Meyrick, 1918",species,,Orneodes,,photaula,,58,55,1918,ICZN,established,,
273,273,Alucita phricodes,"Meyrick, 1886",species,,Alucita,,phricodes,,47,20,1886,ICZN,established,,
