ID,basionymID,scientificName,authorship,rank,uninomial,genus,infragenericEpithet,specificEpithet,infraspecificEpithet,status,referenceID,publishedInPage,remarks
940,941,Eichlinia grande,"(Strecker, 1881)",species,,Eichlinia,,grande,,,Strecker_1881,156,
941,941,Trochilium grande,"Strecker, 1881",species,,Trochilium,,grande,,,Strecker_1881,156,
942,942,Melitta beckeri,"Druce, 1892",species,,Melitta,,beckeri,,,Druce_1892,276,[sic]
943,942,Eichlinia beckeri,"(Druce, 1892)",species,,Eichlinia,,beckeri,,,Druce_1892,276,
944,944,Melittia grandis hermosa,"Engelhardt, 1946",subspecies,,Melittia,,grandis,hermosa,,Engelhardt_1946,186,
945,944,Eichlinia grande var. hermosa,"(Engelhardt, 1946)",variety,,Eichlinia,,grande,hermosa,,Engelhardt_1946,186,
946,947,Eichlinia khmer,"(Le Cerf, 1917)",species,,Eichlinia,,khmer,,,Le_Cerf_1917,161,
947,947,Melittia khmer,"Le Cerf, 1917",species,,Melittia,,khmer,,,Le_Cerf_1917,161,
948,,Eichlinia chmer,"(Hampson, 1919)",species,,Eichlinia,,chmer,,not established,Hampson_1919,93,incorrect emendation
949,950,Eichlinia magnifica,"(Beutenmüller, 1900)",species,,Eichlinia,,magnifica,,,Beutenmüller_1900a,151,
950,950,Melittia magnifica,"Beutenmüller, 1900",species,,Melittia,,magnifica,,,Beutenmüller_1900a,151,
951,952,Eichlinia pulchripes,"(Walker, 1856)",species,,Eichlinia,,pulchripes,,,Walker_1856,67,
952,952,Melittia pulchripes,"Walker, 1856",species,,Melittia,,pulchripes,,,Walker_1856,67,
953,952,Eichlinia pulchripes pulchripes,"(Walker, 1856)",subspecies,,Eichlinia,,pulchripes,pulchripes,,Walker_1856,Walker 1856,
954,954,Melittia riograndensis,"Brethes, 1920",species,,Melittia,,riograndensis,,,Brethes_1920,"284,",
955,955,Eichlinia riograndensis,"Brethes, 1920",species,,Eichlinia,,riograndensis,,,Brethes_1920,"284,",
956,957,Eichlinia pulchripes dangeloi,"(Köhler, 1941)",subspecies,,Eichlinia,,pulchripes,dangeloi,,Köhler_1941,10,
957,957,Melittia dangeloi,"Köhler, 1941",species,,Melittia,,dangeloi,,,Köhler_1941,10,
958,,Eichlinia snowii,"(Edwards, 1882)",species,,Eichlinia,,snowii,,,Edwards_1882a,53,
959,959,Melittia,"Hübner, [1819]",genus,Melittia,,,,,,Hübner_1816_1826,128,
960,960,Eumallopoda,"Wallengren, 1859",genus,Eumallopoda,,,,,,Wallengren_1859,84,
961,961,Parasa,"Wallengren, 1863",genus,Parasa,,,,,,Wallengren_1863,137,preoccupied by Moore [1860] (Limacodidae)
962,962,Pansa,"Wallengren, 1865",genus,Pansa,,,,,,Wallengren_1865,9,replacement name for Parasa Wallengren 1863
963,963,Eublepharis,"Felder, 1874",genus,Eublepharis,,,,,,Felder_Felder_1874,"4, pl. 75",by monotypy; preoccupied by Gray 1827 (Reptilia)
964,964,Leuthneria,"Dalla Torre, 1925",genus,Leuthneria,,,,,,Dalla_Torre_Strand_1925,149,replacement name for Eublepharis Felder & Felder 1874
965,965,Poderis,"Boisduval, [1875]",genus,Poderis,,,,,not established,Boisduval_1875,468,unavailable by publication in synonymy
966,967,Melittia eurytion,"(Westwood, 1848)",species,,Melittia,,eurytion,,,Westwood_1848,62,
967,967,Trochilium eurytion,"Westwood, 1848",species,,Trochilium,,eurytion,,,Westwood_1848,62,
